HEROIC,ENCE,TEAM LIQUID,FAZE CLAN,VIRTUS.PRO,NATUS VINCERE,apeks,skade,we live again,karagümrük espor,where team,bystanders,entropiq,blaze esports,orgless (eu),norsemen hkraft,tournament,tournament_number,game_number,redline,afteralt,BBL ESPORTS,exhalation,digital athletics,five,mutiny,supermassive blaze,road to glory,QUESTION MARK,plan b,ding,ska esports,hall of game,tokyo manji gang,galakticos,vanir,gear up,type
13.0,4,11,0,6,7,,,,,,,,,,,pcs5,4,19,,,3.0,12.0,14.0,,,4.0,,8.0,,,,1.0,6.0,2.0,0.0,3.0,p
3.0,5,18,2,4,3,,,,,,,,,,,pcs5,4,21,,,11.0,5.0,0.0,,,18.0,,0.0,,,,4.0,1.0,0.0,4.0,13.0,p
2.0,6,6,5,13,3,,,,,,,,,,,pcs5,4,23,,,0.0,3.0,7.0,,,3.0,,17.0,,,,3.0,2.0,8.0,1.0,13.0,p
5.0,14,0,3,4,8,,,,,,,,,,,pcs5,4,25,,,7.0,0.0,4.0,,,2.0,,10.0,,,,19.0,3.0,3.0,7.0,0.0,p
1.0,10,16,0,20,11,,,,,,,,,,,pcs5,4,27,,,1.0,0.0,2.0,,,8.0,,9.0,,,,6.0,0.0,0.0,4.0,1.0,p
3.0,9,11,14,5,4,,,,,,,,,,,pcs5,4,29,,,0.0,1.0,1.0,,,5.0,,21.0,,,,1.0,1.0,1.0,13.0,4.0,p
10.0,5,14,6,2,23,,,,,,,,,,,pcs5,4,31,,,0.0,0.0,18.0,,,7.0,,0.0,,,,1.0,0.0,3.0,2.0,1.0,p
2.0,11,26,6,6,1,,,,,,,,,,,pcs5,4,33,,,1.0,3.0,10.0,,,5.0,,1.0,,,,0.0,3.0,0.0,6.0,11.0,p
1.0,9,12,22,7,1,,,,,,,,,,,pcs5,4,35,,,0.0,11.0,5.0,,,4.0,,0.0,,,,1.0,1.0,3.0,0.0,16.0,p
1.0,3,10,1,4,19,,,,,,,,,,,pcs5,4,37,,,2.0,5.0,6.0,,,0.0,,3.0,,,,3.0,13.0,5.0,16.0,0.0,p
0.0,1,0,10,0,4,,,,,,,,,,,pcs5,4,39,,,15.0,0.0,5.0,,,4.0,,7.0,,,,4.0,28.0,5.0,0.0,8.0,p
1.0,3,9,4,0,16,,,,,,,,,,,pcs5,4,41,,,7.0,16.0,5.0,,,5.0,,0.0,,,,4.0,10.0,1.0,8.0,0.0,p
9.0,0,10,28,4,2,,,,,,,,,,,pcs5,4,43,,,2.0,1.0,8.0,,,18.0,,1.0,,,,0.0,1.0,9.0,2.0,0.0,p
25.0,3,1,0,0,8,,,,,,,,,,,pcs5,4,45,,,1.0,13.0,10.0,,,1.0,,3.0,,,,0.0,0.0,17.0,3.0,7.0,p
2.0,8,4,1,2,26,,,,,,,,,,,pcs5,4,47,,,13.0,3.0,12.0,,,5.0,,1.0,,,,3.0,1.0,6.0,0.0,4.0,p
1.0,19,5,1,13,14,,,,,,,,,,,pcs5,4,49,,,3.0,2.0,5.0,,,5.0,,3.0,,,,4.0,0.0,14.0,4.0,0.0,p
2.0,1,2,1,23,7,,,,,,,,,,,pcs5,4,51,,,1.0,4.0,3.0,,,6.0,,16.0,,,,16.0,2.0,2.0,8.0,0.0,p
3.0,3,5,3,4,7,,,,,,,,,,,pcs5,4,53,,,7.0,2.0,1.0,,,10.0,,4.0,,,,4.0,24.0,14.0,4.0,0.0,p
2.0,7,3,18,2,15,,,,,,,,,,,pcs5,4,55,,,10.0,2.0,4.0,,,0.0,,1.0,,,,11.0,1.0,10.0,4.0,1.0,p
4.0,5,10,2,15,0,,,,,,,,,,,pcs5,4,57,,,21.0,2.0,3.0,,,1.0,,3.0,,,,1.0,11.0,0.0,9.0,1.0,p
0.0,10,1,13,8,0,,,,,,,,,,,pcs5,4,59,,,5.0,7.0,1.0,,,0.0,,9.0,,,,4.0,2.0,23.0,8.0,1.0,p
7.0,20,3,1,3,8,,,,,,,,,,,pcs5,4,61,,,11.0,1.0,1.0,,,1.0,,10.0,,,,3.0,1.0,13.0,5.0,5.0,p
5.0,2,2,3,2,15,,,,,,,,,,,pcs5,4,63,,,16.0,7.0,21.0,,,2.0,,1.0,,,,5.0,2.0,1.0,2.0,5.0,p
10.0,11,6,2,0,1,,,,,,,,,,,pcs5,4,65,,,2.0,1.0,10.0,,,0.0,,19.0,,,,5.0,5.0,4.0,10.0,5.0,p
14.0,6,13,18,8,7,,,,,,,,,,,pcs5,4,67,,,4.0,1.0,0.0,,,3.0,,7.0,,,,5.0,2.0,0.0,1.0,1.0,p
11.0,3,2,6,1,5,,,,,,,,,,,pcs5,4,69,,,9.0,0.0,3.0,,,0.0,,24.0,,,,1.0,9.0,9.0,3.0,2.0,p
6.0,8,5,14,26,0,,,,,,,,,,,pcs5,4,71,,,4.0,0.0,10.0,,,2.0,,2.0,,,,5.0,3.0,3.0,3.0,1.0,p
